number of segments;icic;extr
7;301CUL073;Carta-Extraordinaria-10
7;608CXL226;Carta-Extraordinaria-27
8;406CUL293;Carta-Extraordinaria-10
8;407CQL123;Carta-Extraordinaria-12
9;603CWL193;Carta-Extraordinaria-18
10;134CUL236;Carta-Extraordinaria-19
11;106CWL031;Carta-Extraordinaria-77
12;105CWL061;Carta-Extraordinaria-30
12;106CWL030;Carta-Extraordinaria-31
12;504C-L101;Carta-Extraordinaria-51
12;516CZL125;Carta-Extraordinaria-61
12;603CWL194;Carta-Extraordinaria-71
13;102CTL003;Carta-Extraordinaria-16
13;105CWL039;Carta-Extraordinaria-54
14;117CWL009;Carta-Extraordinaria-03
14;301CUL075;Carta-Extraordinaria-34
15;107CYL010;Carta-Extraordinaria-44
15;112C-L016;Carta-Extraordinaria-50
15;113CWL018;Carta-Extraordinaria-53
15;119CWL042;Carta-Extraordinaria-64
16;501C-L077;Carta-Extraordinaria-05
16;530C-L207;Carta-Extraordinaria-41
16;530C-L211;Carta-Extraordinaria-65
16;609CWL239;Carta-Extraordinaria-75
18;119CWL041;Carta-Extraordinaria-81
18;120CUL044;Carta-Extraordinaria-91
19;110CYL070;Carta-Extraordinaria-01
19;150CZL269;Carta-Extraordinaria-23
19;301CUL076;Carta-Extraordinaria-29
19;513C-L156;Carta-Extraordinaria-38
19;517CWL088;Carta-Extraordinaria-78
20;513C-L142;Carta-Extraordinaria-46
21;112C-L015;Carta-Extraordinaria-09
21;401CVL007;Carta-Extraordinaria-55
21;513C-L150;Carta-Extraordinaria-82
22;513C-L171;Carta-Extraordinaria-21
23;105CWL063;Carta-Extraordinaria-06
23;609CWL242;Carta-Extraordinaria-36
24;502C-L084;Carta-Extraordinaria-13
24;533C-L249;Carta-Extraordinaria-33
25;318C-L294;Carta-Extraordinaria-73
25;513C-L165;Carta-Extraordinaria-84
27;112C-L013;Carta-Extraordinaria-45
27;609CWL240;Carta-Extraordinaria-66
28;530C-L218;Carta-Extraordinaria-07
28;530C-L222;Carta-Extraordinaria-42
32;108CXL199;Carta-Extraordinaria-79
38;601CZL183;Carta-Extraordinaria-59
39;609CWL260;Carta-Extraordinaria-32
42;119CWL047;Carta-Extraordinaria-11
47;530C-L221;Carta-Extraordinaria-49
