Source,Target,network,Type
offer,possibl,2,Undirected
offer,peopl,2,Undirected
other,school,2,Undirected
friend,individu,2,Undirected
friend,person,2,Undirected
friend,dear,2,Undirected
friend,1996,2,Undirected
friend,support,2,Undirected
1996-97,year,1,Undirected
just,$10,1,Undirected
execut,director,1,Undirected
nanci,k,2,Undirected
nanci,haskel,1,Undirected
director,execut,2,Undirected
director,nanci,2,Undirected
p.,director,1,Undirected
p.,haskel,1,Undirected
sincer,director,2,Undirected
sincer,p.,1,Undirected
approxim,student,both,Undirected
approxim,make,both,Undirected
$48,pay,both,Undirected
follow,$48,both,Undirected
import,success,both,Undirected
import,accomplish,both,Undirected
vital,import,both,Undirected
busi,activ,both,Undirected
generos,busi,both,Undirected
generos,activ,both,Undirected
remai,30%,both,Undirected
30%,generos,both,Undirected
60%,budget,both,Undirected
come,follow,both,Undirected
come,30%,both,Undirected
come,60%,both,Undirected
come,make,both,Undirected
come,unit,both,Undirected
result,follow,both,Undirected
result,come,both,Undirected
result,level,both,Undirected
actual,cost,both,Undirected
actual,real,both,Undirected
conflict,resolut,both,Undirected
compon,make,both,Undirected
human,growth,both,Undirected
differ,conflict,both,Undirected
differ,real,both,Undirected
differ,make,both,Undirected
base,compon,both,Undirected
base,support,both,Undirected
own,activ,both,Undirected
own,teacher,both,Undirected
start,year,1,Undirected
have,own,both,Undirected
have,start,1,Undirected
have,000,1,Undirected
have,stake,both,Undirected
have,individu,both,Undirected
have,contribut,1,Undirected
have,make,both,Undirected
have,unit,both,Undirected
short,have,both,Undirected
short,make,both,Undirected
stake,promot,both,Undirected
level,grade,both,Undirected
action,execut,both,Undirected
action,success,both,Undirected
action,conflict,both,Undirected
action,behavior,both,Undirected
action,accomplish,both,Undirected
action,activ,both,Undirected
teen,pregnanc,both,Undirected
controll,pregnanc,both,Undirected
emphasi,import,both,Undirected
emphasi,controll,both,Undirected
emphasi,take,both,Undirected
emphasi,emerg,both,Undirected
nation,emphasi,both,Undirected
nation,individu,both,Undirected
even,grade,both,Undirected
even,level,both,Undirected
even,veri,both,Undirected
veri,real,both,Undirected
mission,critic,both,Undirected
critic,vital,both,Undirected
critic,veri,both,Undirected
push,critic,both,Undirected
push,promot,both,Undirected
background,push,both,Undirected
behavior,activ,both,Undirected
take,follow,both,Undirected
take,cost,both,Undirected
take,have,both,Undirected
take,level,both,Undirected
take,action,both,Undirected
take,elect,both,Undirected
take,make,both,Undirected
major,stake,both,Undirected
major,student,both,Undirected
emerg,alreadi,both,Undirected
emerg,develop,both,Undirected
emerg,growth,both,Undirected
peer,individu,both,Undirected
resolut,result,both,Undirected
resolut,decision-mak,both,Undirected
mount,pressur,both,Undirected
issu,result,both,Undirected
issu,take,both,Undirected
issu,major,both,Undirected
issu,emerg,both,Undirected
issu,respons,both,Undirected
issu,area,both,Undirected
issu,elect,both,Undirected
home,base,both,Undirected
home,nation,both,Undirected
home,unit,both,Undirected
time,come,both,Undirected
time,hour,both,Undirected
time,subject,both,Undirected
volatil,time,both,Undirected
promot,behavior,both,Undirected
promot,contribut,1,Undirected
promot,support,both,Undirected
young,peopl,both,Undirected
too,mani,2,Undirected
peopl,busi,both,Undirected
peopl,nation,both,Undirected
peopl,promot,both,Undirected
peopl,possibl,1,Undirected
mani,too,1,Undirected
mani,peopl,1,Undirected
reach,come,1,Undirected
reach,push,1,Undirected
reach,mani,1,Undirected
reach,accomplish,1,Undirected
reach,make,1,Undirected
accomplish,execut,both,Undirected
accomplish,pay,both,Undirected
accomplish,make,both,Undirected
individu,follow,both,Undirected
individu,success,both,Undirected
activ,success,both,Undirected
activ,fundrais,both,Undirected
activ,start,1,Undirected
activ,individu,both,Undirected
activ,support,both,Undirected
respons,result,both,Undirected
respons,behavior,both,Undirected
respons,take,both,Undirected
respons,activ,both,Undirected
respons,area,both,Undirected
person,follow,both,Undirected
person,success,both,Undirected
person,have,both,Undirected
person,nation,both,Undirected
person,peer,both,Undirected
person,individu,both,Undirected
person,activ,both,Undirected
person,respons,both,Undirected
person,subject,both,Undirected
person,child,both,Undirected
person,gift,both,Undirected
hope,individu,both,Undirected
hope,person,both,Undirected
consid,take,both,Undirected
consid,hope,both,Undirected
consid,make,both,Undirected
consid,gift,both,Undirected
pressur,push,both,Undirected
pressur,peer,both,Undirected
pressur,resolut,both,Undirected
pay,$240,2,Undirected
pay,$500,both,Undirected
pay,$156,both,Undirected
pay,$60,both,Undirected
pay,compon,both,Undirected
pay,level,1,Undirected
pay,hour,both,Undirected
pay,student,both,Undirected
develop,follow,both,Undirected
develop,make,both,Undirected
area,differ,both,Undirected
three,area,both,Undirected
one,level,both,Undirected
one,action,both,Undirected
one,hour,both,Undirected
particip,activ,both,Undirected
particip,school,both,Undirected
particip,program,both,Undirected
recent,particip,both,Undirected
contribut,$10,1,Undirected
subject,nation,both,Undirected
subject,major,both,Undirected
subject,issu,both,Undirected
subject,workplac,both,Undirected
subject,home,both,Undirected
subject,individu,both,Undirected
