Source,Target,network,Type
paul,store,2,Undirected
paul,harri,2,Undirected
chair,ceo/presid,2,Undirected
honorari,chair,2,Undirected
g,honorari,2,Undirected
charlott,g,2,Undirected
high,return,2,Undirected
yield,return,2,Undirected
first,step,2,Undirected
camp,properti,2,Undirected
progress,math,2,Undirected
life,woman,2,Undirected
step,becom,2,Undirected
give,yield,2,Undirected
give,campaign,2,Undirected
give,return,2,Undirected
1996,ceo/presid,2,Undirected
central,indiana,2,Undirected
veri,support,2,Undirected
$2,million,2,Undirected
$2,campaign,2,Undirected
make,yield,2,Undirected
make,life,2,Undirected
make,differ,2,Undirected
make,step,2,Undirected
make,give,2,Undirected
make,commit,2,Undirected
make,construct,2,Undirected
make,develop,2,Undirected
make,becom,2,Undirected
make,return,2,Undirected
operat,fund,2,Undirected
ceo/presid,paul,2,Undirected
$65,000,2,Undirected
annual,ceo/presid,2,Undirected
annual,appeal,2,Undirected
commit,give,2,Undirected
commit,sincer,2,Undirected
three,properti,2,Undirected
three,construct,2,Undirected
goal,$65,2,Undirected
goal,annual,2,Undirected
goal,appeal,2,Undirected
new,young,2,Undirected
juvenil,justic,2,Undirected
juvenil,center,2,Undirected
center,properti,2,Undirected
center,new,2,Undirected
center,construct,2,Undirected
center,hear,2,Undirected
school,center,2,Undirected
area,center,2,Undirected
area,school,2,Undirected
area,construct,2,Undirected
serv,area,2,Undirected
construct,properti,2,Undirected
develop,progress,2,Undirected
develop,math,2,Undirected
develop,becom,2,Undirected
materi,equip,2,Undirected
risk,serv,2,Undirected
risk,hard,2,Undirected
addit,contact,2,Undirected
addit,appeal,2,Undirected
addit,help,2,Undirected
resourc,librari,2,Undirected
resourc,help,2,Undirected
resourc,support,2,Undirected
parent,volunt,2,Undirected
leader,initi,2,Undirected
train,school,2,Undirected
train,develop,2,Undirected
train,resourc,2,Undirected
train,help,2,Undirected
financi,need,2,Undirected
membership,cost,2,Undirected
math,scienc,2,Undirected
activ,central,2,Undirected
activ,materi,2,Undirected
activ,initi,2,Undirected
subsid,support,2,Undirected
cover,contact,2,Undirected
cover,initi,2,Undirected
cover,program,2,Undirected
use,subsid,2,Undirected
use,cover,2,Undirected
use,provid,2,Undirected
contribut,give,2,Undirected
contribut,use,2,Undirected
appeal,operat,2,Undirected
appeal,ceo/presid,2,Undirected
appeal,one,2,Undirected
assur,make,2,Undirected
assur,commit,2,Undirected
assur,cover,2,Undirected
assur,sure,2,Undirected
sound,step,2,Undirected
million,campaign,2,Undirected
consid,make,2,Undirected
consid,contact,2,Undirected
consid,support,2,Undirected
corpor,materi,2,Undirected
capit,center,2,Undirected
capit,develop,2,Undirected
capit,consid,2,Undirected
capit,campaign,2,Undirected
capit,provid,2,Undirected
donat,give,2,Undirected
donat,contribut,2,Undirected
donat,million,2,Undirected
donat,consid,2,Undirected
donat,corpor,2,Undirected
donat,opportun,2,Undirected
hoosier,council,2,Undirected
hoosier,capit,2,Undirected
sharehold,becom,2,Undirected
initi,first,2,Undirected
initi,make,2,Undirected
one,hear,2,Undirected
experi,life,2,Undirected
experi,vision,2,Undirected
help,serv,2,Undirected
help,construct,2,Undirected
help,develop,2,Undirected
help,materi,2,Undirected
help,risk,2,Undirected
help,librari,2,Undirected
help,activ,2,Undirected
help,fund,2,Undirected
help,support,2,Undirected
need,life,2,Undirected
cost,need,2,Undirected
scout,donat,2,Undirected
scout,hoosier,2,Undirected
scout,sharehold,2,Undirected
girl,woman,2,Undirected
girl,vision,2,Undirected
girl,becom,2,Undirected
girl,initi,2,Undirected
girl,two,2,Undirected
girl,one,2,Undirected
girl,experi,2,Undirected
girl,help,2,Undirected
girl,need,2,Undirected
girl,cost,2,Undirected
girl,scout,2,Undirected
girl,program,2,Undirected
girl,support,2,Undirected
dear,name,2,Undirected
enclosur,bubba,1,Undirected
your,enclosur,1,Undirected
sincer,charlott,2,Undirected
sincer,your,1,Undirected
hear,1996,2,Undirected
hear,about,2,Undirected
look,hear,1,Undirected
forward,look,1,Undirected
hope,furthermuch,1,Undirected
hope,join,1,Undirected
hope,agre,1,Undirected
envelop,enclosur,1,Undirected
pledg,card,1,Undirected
much,detail,1,Undirected
return,hope,1,Undirected
return,envelop,1,Undirected
enclos,enclosur,1,Undirected
enclos,envelop,1,Undirected
brochur,enclos,1,Undirected
brochur,explain,1,Undirected
young,woman,2,Undirected
young,adult,1,Undirected
kid,connect,1,Undirected
connect,involv,1,Undirected
connect,join,1,Undirected
certain,extent,1,Undirected
82,year,1,Undirected
year,commit,2,Undirected
year,three,2,Undirected
year,goal,2,Undirected
professionally-produc,play,1,Undirected
play,music,1,Undirected
audienc,hear,1,Undirected
audienc,opportun,1,Undirected
otherwis,exposur,1,Undirected
opportun,assur,2,Undirected
opportun,sound,2,Undirected
