Source,Target,network,Type
iu,offic,2,Undirected
payrol,deduct,2,Undirected
offic,foundat,2,Undirected
contact,274-3711,2,Undirected
contact,offic,2,Undirected
interest,contact,2,Undirected
interest,make,2,Undirected
onli,recogn,2,Undirected
recogn,abil,2,Undirected
sincer,p.s,2,Undirected
know,recogn,2,Undirected
know,touch,2,Undirected
know,sever,2,Undirected
gift,deduct,2,Undirected
gift,make,2,Undirected
gift,help,2,Undirected
gift,becom,2,Undirected
school,alloc,2,Undirected
alloc,part,2,Undirected
campus,alloc,2,Undirected
combin,campus,2,Undirected
individu,sever,2,Undirected
accomplish,make,2,Undirected
accomplish,combin,2,Undirected
accomplish,abil,2,Undirected
generos,individu,2,Undirected
generos,accomplish,2,Undirected
$1000,stipend,2,Undirected
tuition/fe,remiss,2,Undirected
remiss,stipend,2,Undirected
feel,recogn,2,Undirected
past,support,2,Undirected
introductori,laboratori,2,Undirected
inspir,make,2,Undirected
colorado,boulder,2,Undirected
univers,colorado,2,Undirected
geolog,univers,2,Undirected
geolog,laboratori,2,Undirected
doctor,degre,2,Undirected
eric,hiatt,2,Undirected
eric,work,2,Undirected
touch,contact,2,Undirected
touch,interest,2,Undirected
touch,feel,2,Undirected
hold,make,2,Undirected
hold,feel,2,Undirected
hold,touch,2,Undirected
hold,support,2,Undirected
futur,touch,2,Undirected
futur,hold,2,Undirected
vlyman,impress,2,Undirected
impress,feel,2,Undirected
impress,touch,2,Undirected
impress,excel,2,Undirected
impress,write,2,Undirected
van,impress,2,Undirected
physic,van,2,Undirected
physic,sandra,2,Undirected
brown,physic,2,Undirected
penni,wright,2,Undirected
cynthia,brown,2,Undirected
recipi,cynthia,2,Undirected
recipi,fellow,2,Undirected
recipi,wright,2,Undirected
danger,sever,2,Undirected
danger,sober,2,Undirected
unimagin,danger,2,Undirected
critic,success,2,Undirected
sourc,inspir,2,Undirected
part,offic,2,Undirected
part,interest,2,Undirected
part,sever,2,Undirected
today,gift,2,Undirected
today,renow,2,Undirected
teacher,becom,2,Undirected
teacher,continu,2,Undirected
knowledg,know,2,Undirected
knowledg,abil,2,Undirected
extend,promis,2,Undirected
extend,part,2,Undirected
extend,today,2,Undirected
extend,teacher,2,Undirected
extend,classroom,2,Undirected
extend,knowledg,2,Undirected
extend,continu,2,Undirected
dedic,promis,2,Undirected
dedic,commit,2,Undirected
desir,feel,2,Undirected
desir,extend,2,Undirected
small,way,2,Undirected
clear,make,2,Undirected
nation,individu,2,Undirected
nation,crisi,2,Undirected
teach,excel,2,Undirected
teach,again,2,Undirected
teach,laboratori,2,Undirected
teach,remind,2,Undirected
pursu,career,2,Undirected
pursu,commit,2,Undirected
career,path,2,Undirected
career,teach,2,Undirected
michael,cohen,2,Undirected
choos,career,2,Undirected
becom,know,2,Undirected
becom,make,2,Undirected
bright,promis,2,Undirected
bright,dedic,2,Undirected
scienc,abil,2,Undirected
scienc,educ,2,Undirected
outstand,student,2,Undirected
outstand,great,2,Undirected
level,indic,2,Undirected
level,degre,2,Undirected
educ,foundat,2,Undirected
educ,make,2,Undirected
educ,school,2,Undirected
educ,teacher,2,Undirected
educ,teach,2,Undirected
educ,professor,2,Undirected
educ,michael,2,Undirected
educ,elementari,2,Undirected
educ,wright,2,Undirected
educ,choos,2,Undirected
educ,p.s,2,Undirected
educ,scholarship,2,Undirected
educ,crisi,2,Undirected
student,doctor,2,Undirected
student,abil,2,Undirected
student,becom,2,Undirected
student,bright,2,Undirected
student,scienc,2,Undirected
student,encourag,2,Undirected
success,individu,2,Undirected
success,order,2,Undirected
support,foundat,2,Undirected
support,help,2,Undirected
support,feel,2,Undirected
support,critic,2,Undirected
support,part,2,Undirected
support,back,2,Undirected
support,progrb,2,Undirected
five,year,2,Undirected
die,feel,2,Undirected
die,four,2,Undirected
die,five,2,Undirected
die,disast,2,Undirected
die,year,2,Undirected
woman,die,2,Undirected
man,offic,2,Undirected
man,individu,2,Undirected
man,fellow,2,Undirected
man,woman,2,Undirected
man,work,2,Undirected
great,success,2,Undirected
continu,hold,2,Undirected
continu,critic,2,Undirected
continu,sourc,2,Undirected
continu,path,2,Undirected
continu,work,2,Undirected
continu,order,2,Undirected
memori,man,2,Undirected
memori,remind,2,Undirected
program,attempt,2,Undirected
oper,combin,2,Undirected
oper,knowledg,2,Undirected
oper,support,2,Undirected
oper,storm,2,Undirected
oper,work,2,Undirected
storm,desert,2,Undirected
hospit,ship,2,Undirected
hospit,commit,2,Undirected
biolog,major,2,Undirected
ship,storm,2,Undirected
major,student,2,Undirected
serv,help,2,Undirected
serv,oper,2,Undirected
serv,ship,2,Undirected
serv,work,2,Undirected
morehead,major,2,Undirected
morehead,serv,2,Undirected
write,make,2,Undirected
write,critic,2,Undirected
sober,becom,2,Undirected
face,individu,2,Undirected
persian,gulf,2,Undirected
be,recogn,2,Undirected
be,make,2,Undirected
be,individu,2,Undirected
be,feel,2,Undirected
be,touch,2,Undirected
be,hold,2,Undirected
be,promis,2,Undirected
be,extend,2,Undirected
be,continu,2,Undirected
be,safe,2,Undirected
