Source,Target,network,Type
rememb,includ,2,Undirected
thank,donat,2,Undirected
futur,generat,2,Undirected
generous,donat,2,Undirected
generous,gift,2,Undirected
hope,join,2,Undirected
strive,hope,2,Undirected
strive,continu,2,Undirected
unsight,litter,2,Undirected
233,neighborhood,2,Undirected
55,home,2,Undirected
102,properti,2,Undirected
502,tree,2,Undirected
clear,neighborhood,2,Undirected
environ,enclos,2,Undirected
environ,effort,2,Undirected
environ,home,2,Undirected
fulfill,mission,2,Undirected
accomplish,fulfill,2,Undirected
accomplish,partner,2,Undirected
accomplish,manag,2,Undirected
accomplish,effort,2,Undirected
list,donor,2,Undirected
say,have,2,Undirected
oo,connor,2,Undirected
need,involv,2,Undirected
need,give,2,Undirected
need,ask,2,Undirected
proud,say,2,Undirected
long-tim,support,2,Undirected
car,equip,2,Undirected
car,steve,2,Undirected
car,golf,2,Undirected
sullivan,heartland,2,Undirected
sullivan,car,2,Undirected
involv,includ,2,Undirected
involv,ask,2,Undirected
believ,need,2,Undirected
compani,krog,2,Undirected
compani,connor,2,Undirected
compani,believ,2,Undirected
compani,want,2,Undirected
compani,organ,2,Undirected
compani,lot,2,Undirected
small,compani,2,Undirected
feder,organ,2,Undirected
union,feder,2,Undirected
union,bank,2,Undirected
union,join,2,Undirected
union,organ,2,Undirected
bank,save,2,Undirected
bank,feder,2,Undirected
bank,enclos,2,Undirected
bank,give,2,Undirected
mark,bank,2,Undirected
mark,check,2,Undirected
gould,mark,2,Undirected
beautifi,properti,2,Undirected
beautifi,effort,2,Undirected
beautifi,plant,2,Undirected
place,properti,2,Undirected
place,back,2,Undirected
place,enclos,2,Undirected
place,presid,2,Undirected
place,home,2,Undirected
place,plant,2,Undirected
place,neighborhood,2,Undirected
give,back,2,Undirected
give,donat,2,Undirected
give,gift,2,Undirected
give,contribut,2,Undirected
give,lot,2,Undirected
give,have,2,Undirected
good,futur,2,Undirected
good,place,2,Undirected
live,support,2,Undirected
read,have,2,Undirected
read,make,2,Undirected
shirt,read,2,Undirected
shirt,volunt,2,Undirected
corpor,shirt,2,Undirected
want,hope,2,Undirected
want,need,2,Undirected
want,involv,2,Undirected
want,whi,2,Undirected
want,ask,2,Undirected
want,long,2,Undirected
peopl,live,2,Undirected
peopl,thousand,2,Undirected
peopl,outstand,2,Undirected
peopl,help,2,Undirected
peopl,communiti,2,Undirected
hear,opportun,2,Undirected
nice,chang,2,Undirected
chang,clear,2,Undirected
chang,mark,2,Undirected
chang,check,2,Undirected
chang,beautifi,2,Undirected
chang,give,2,Undirected
chang,hear,2,Undirected
chang,contribut,2,Undirected
chang,make,2,Undirected
share,stori,2,Undirected
share,gift,2,Undirected
share,effort,2,Undirected
share,contribut,2,Undirected
think,rememb,2,Undirected
think,believ,2,Undirected
think,give,2,Undirected
think,chang,2,Undirected
enjoy,share,2,Undirected
juli,plant,2,Undirected
jo,ellen,2,Undirected
septemb,think,2,Undirected
septemb,enjoy,2,Undirected
8,parks/garden,2,Undirected
8,dear,2,Undirected
local,cami,1,Undirected
cami,artist,1,Undirected
16,print,1,Undirected
manag,p.s,both,Undirected
tammi,vice,both,Undirected
tammi,jackson,both,Undirected
tammi,contribut,1,Undirected
forsel,rememb,2,Undirected
forsel,david,both,Undirected
forsel,contribut,1,Undirected
sincer,forsel,both,Undirected
late,date,1,Undirected
pledg,dedic,1,Undirected
advanc,thank,2,Undirected
advanc,contribut,1,Undirected
facilit,gift,1,Undirected
indic,return,1,Undirected
indic,pledg,1,Undirected
indic,show,1,Undirected
indic,print,1,Undirected
provid,partner,2,Undirected
provid,equip,2,Undirected
provid,give,2,Undirected
provid,opportun,2,Undirected
provid,facilit,1,Undirected
provid,date,1,Undirected
provid,join,2,Undirected
provid,support,2,Undirected
provid,lot,2,Undirected
invoic,check,2,Undirected
invoic,enclos,2,Undirected
invoic,indic,1,Undirected
invoic,provid,1,Undirected
donat,pledg,1,Undirected
donat,contribut,1,Undirected
like,indic,1,Undirected
show,dedic,1,Undirected
gift,advanc,1,Undirected
gift,donat,both,Undirected
gift,contribut,both,Undirected
join,continu,1,Undirected
effort,strive,2,Undirected
effort,constant,2,Undirected
effort,impriv,2,Undirected
effort,join,1,Undirected
effort,contribut,both,Undirected
rais,advanc,1,Undirected
rais,mention,1,Undirected
rais,make,1,Undirected
abl,rais,1,Undirected
community-bas,organ,1,Undirected
print,cami,1,Undirected
print,edit,1,Undirected
print,20,1,Undirected
print,x,1,Undirected
print,show,1,Undirected
limit,print,1,Undirected
limit,onli,1,Undirected
limit,resourc,1,Undirected
import,work,1,Undirected
includ,year,2,Undirected
includ,budget,both,Undirected
mention,show,1,Undirected
mention,abov,1,Undirected
mention,stori,1,Undirected
ask,includ,1,Undirected
sig,print,1,Undirected
contribut,manag,both,Undirected
contribut,presid,both,Undirected
contribut,tammi,2,Undirected
contribut,forsel,2,Undirected
contribut,advanc,2,Undirected
contribut,donat,2,Undirected
contribut,$250,1,Undirected
letter,print,1,Undirected
letter,mention,1,Undirected
letter,ask,1,Undirected
send,sig,1,Undirected
send,contribut,1,Undirected
send,letter,1,Undirected
novemb,send,1,Undirected
individu,organ,1,Undirected
individu,success,1,Undirected
busi,print,1,Undirected
busi,individu,1,Undirected
busi,work,1,Undirected
resourc,abl,1,Undirected
resourc,help,1,Undirected
financi,resourc,1,Undirected
financi,support,1,Undirected
help,check,2,Undirected
help,enclos,2,Undirected
help,generat,2,Undirected
help,beautifi,2,Undirected
