Id,network,Label
social,both,social
associ,both,associ
health,both,health
indiana,both,indiana
provid,both,provid
help,both,help
support,both,support
program,both,program
gift,both,gift
central,both,central
unit,both,unit
10%,both,10%
famili,both,famili
life,both,life
educ,both,educ
child,both,child
skill,both,skill
make,both,make
aid,1,aid
aids/std,both,aids/std
student,both,student
parent,both,parent
school,both,school
teacher,both,teacher
in-school,both,in-school
growth,both,growth
price,both,price
youth,both,youth
1943,both,1943
summer,both,summer
1996,both,1996
dear,both,dear
subject,both,subject
contribut,1,contribut
list,1,list
elect,both,elect
recent,both,recent
particip,both,particip
one,both,one
three,both,three
area,both,area
develop,both,develop
pay,both,pay
hour,both,hour
pressur,both,pressur
entir,both,entir
year,1,year
consid,both,consid
hope,both,hope
person,both,person
respons,both,respons
activ,both,activ
individu,both,individu
thus,both,thus
accomplish,both,accomplish
reach,1,reach
thank,both,thank
mani,both,mani
peopl,both,peopl
too,both,too
young,both,young
possibl,both,possibl
promot,both,promot
volatil,both,volatil
time,both,time
home,both,home
workplac,both,workplac
issu,both,issu
mount,both,mount
resolut,both,resolut
peer,both,peer
emerg,both,emerg
major,both,major
take,both,take
behavior,both,behavior
background,both,background
push,both,push
critic,both,critic
mission,both,mission
veri,both,veri
even,both,even
nation,both,nation
emphasi,both,emphasi
controll,both,controll
alreadi,both,alreadi
pregnanc,both,pregnanc
teen,both,teen
action,both,action
level,both,level
stake,both,stake
short,both,short
have,both,have
000,1,000
start,1,start
own,both,own
age-appropri,both,age-appropri
abstin,both,abstin
base,both,base
differ,both,differ
real,both,real
human,both,human
std,1,std
compon,both,compon
conflict,both,conflict
decision-mak,both,decision-mak
cost,both,cost
actual,both,actual
result,both,result
come,both,come
60%,both,60%
30%,both,30%
budget,both,budget
way,both,way
remai,both,remai
generos,both,generos
busi,both,busi
fundrais,both,fundrais
vital,both,vital
import,both,import
success,both,success
follow,both,follow
$48,both,$48
$60,both,$60
$156,both,$156
$500,both,$500
approxim,both,approxim
50,both,50
500,both,500
grade,both,grade
sincer,both,sincer
p.,1,p.
haskel,1,haskel
director,both,director
nanci,both,nanci
execut,both,execut
$10,1,$10
just,1,just
1996-97,1,1996-97
friend,2,friend
other,2,other
offer,2,offer
$240,2,$240
k,2,k
