Id,network,Label
februari,1,februari
st,both,st
citi,both,citi
creat,both,creat
25,1,25
address,both,address
beauti,both,beauti
make,both,make
1999,both,1999
budget,both,budget
continu,both,continu
name,both,name
dear,both,dear
zip,both,zip
inner,1,inner
church,1,church
work,both,work
park,1,park
elimin,1,elimin
linear,1,linear
communiti,both,communiti
dedic,1,dedic
alley,1,alley
have,both,have
traffic,1,traffic
veri,1,veri
drive-through,1,drive-through
success,1,success
$250,1,$250
drug,1,drug
restaur,1,restaur
neighborhood,both,neighborhood
fast,1,fast
food,1,food
near,1,near
northw,1,northw
walk,1,walk
side,1,side
girl,1,girl
today,both,today
long,both,long
garden,1,garden
volunt,both,volunt
000,both,000
vision,1,vision
shepherd,1,shepherd
playground,1,playground
where,1,where
sit,1,sit
litter,both,litter
vacant,1,vacant
lot,both,lot
loiter,1,loiter
pound,1,pound
tree,both,tree
"24,",1,"24,"
pick,1,pick
up,1,up
2,1,2
million,1,million
plant,both,plant
"1,",1,"1,"
200,1,200
home,both,home
paint,both,paint
50,1,50
poor,1,poor
elder,1,elder
bad,1,bad
year,both,year
do,both,do
1998,1,1998
keep,both,keep
support,both,support
organ,both,organ
indianapoli,both,indianapoli
help,both,help
much,both,much
financi,1,financi
resourc,1,resourc
busi,1,busi
individu,1,individu
novemb,1,novemb
send,1,send
letter,1,letter
contribut,both,contribut
sig,1,sig
ask,both,ask
mention,1,mention
includ,both,includ
import,1,import
limit,1,limit
school,1,school
onli,1,onli
print,1,print
community-bas,1,community-bas
abl,1,abl
rais,1,rais
effort,both,effort
join,both,join
gift,both,gift
stori,both,stori
abov,1,abov
show,1,show
america,1,america
like,1,like
donat,both,donat
date,1,date
invoic,both,invoic
provid,both,provid
indic,1,indic
facilit,both,facilit
advanc,both,advanc
pledg,1,pledg
return,1,return
late,1,late
sincer,both,sincer
forsel,both,forsel
david,both,david
tammi,both,tammi
jackson,both,jackson
vice,both,vice
presid,both,presid
manag,both,manag
p.s,both,p.s
16,1,16
x,1,x
20,1,20
edit,1,edit
cami,1,cami
local,1,local
artist,1,artist
8,2,8
parks/garden,2,parks/garden
septemb,2,septemb
jo,2,jo
juli,2,juli
enjoy,2,enjoy
think,2,think
ellen,2,ellen
share,2,share
chang,2,chang
nice,2,nice
hear,2,hear
peopl,2,peopl
opportun,2,opportun
outstand,2,outstand
thousand,2,thousand
want,2,want
presenc,2,presenc
corpor,2,corpor
shirt,2,shirt
read,2,read
"15,",2,"15,"
live,2,live
good,2,good
give,2,give
impriv,2,impriv
place,2,place
thrive,2,thrive
mission,2,mission
beautifi,2,beautifi
generat,2,generat
enclos,2,enclos
check,2,check
gould,2,gould
mark,2,mark
bank,2,bank
union,2,union
feder,2,feder
save,2,save
small,2,small
compani,2,compani
believ,2,believ
connor,2,connor
krog,2,krog
whi,2,whi
involv,2,involv
sullivan,2,sullivan
car,2,car
heartland,2,heartland
golf,2,golf
steve,2,steve
equip,2,equip
long-tim,2,long-tim
proud,2,proud
mani,2,mani
need,2,need
back,2,back
oo,2,oo
say,2,say
list,2,list
donor,2,donor
accomplish,2,accomplish
partner,2,partner
fulfill,2,fulfill
properti,2,properti
environ,2,environ
constant,2,constant
clear,2,clear
502,2,502
102,2,102
55,2,55
233,2,233
unsight,2,unsight
debri,2,debri
strive,2,strive
hope,2,hope
generous,2,generous
futur,2,futur
thank,2,thank
rememb,2,rememb
2000,2,2000
