Id,network,Label
1,1,1
citi,1,citi
1995,1,1995
name,both,name
address,1,address
septemb,1,septemb
splendor,1,splendor
talent,1,talent
heritag,1,heritag
state,1,state
sure,both,sure
zip,1,zip
st,1,st
awar,1,awar
face,1,face
organ,1,organ
uncertainti,1,uncertainti
mani,1,mani
art,1,art
effort,1,effort
support,both,support
exposur,1,exposur
perform,1,perform
current,1,current
level,1,level
regard,1,regard
futur,1,futur
believ,1,believ
dilemma,1,dilemma
afford,1,afford
fund,both,fund
member,1,member
board,1,board
truste,1,truste
theatr,1,theatr
bubba,1,bubba
indianapoli,1,indianapoli
civic,1,civic
entertain,1,entertain
junior,1,junior
how,1,how
continu,1,continu
program,both,program
agre,1,agre
invest,both,invest
ralli,1,ralli
child,1,child
youth-ori,1,youth-ori
unequ,1,unequ
adult,both,adult
impact,1,impact
excel,1,excel
communiti,1,communiti
join,1,join
mission,1,mission
enhanc,1,enhanc
explain,1,explain
worthi,1,worthi
card,1,card
provid,both,provid
cultur,1,cultur
outlet,1,outlet
music,1,music
arena,1,arena
summer,1,summer
educ,1,educ
opportun,both,opportun
indiana,both,indiana
otherwis,1,otherwis
involv,1,involv
audienc,1,audienc
play,1,play
extent,1,extent
professionally-produc,1,professionally-produc
year,both,year
82,1,82
except,1,except
certain,1,certain
connect,1,connect
kid,1,kid
young,both,young
immeasur,1,immeasur
brochur,1,brochur
enclos,1,enclos
detail,1,detail
return,both,return
much,1,much
pledg,1,pledg
envelop,1,envelop
hope,1,hope
furthermuch,1,furthermuch
forward,1,forward
look,1,look
hear,both,hear
sincer,both,sincer
your,1,your
enclosur,1,enclosur
tarkington,1,tarkington
dear,2,dear
girl,2,girl
scout,2,scout
cost,2,cost
need,2,need
help,2,help
experi,2,experi
one,2,one
two,2,two
initi,2,initi
becom,2,becom
vision,2,vision
sharehold,2,sharehold
hoosier,2,hoosier
donat,2,donat
capit,2,capit
council,2,council
campaign,2,campaign
corpor,2,corpor
consid,2,consid
million,2,million
sound,2,sound
assur,2,assur
appeal,2,appeal
contribut,2,contribut
use,2,use
cover,2,cover
subsid,2,subsid
activ,2,activ
math,2,math
scienc,2,scienc
membership,2,membership
financi,2,financi
train,2,train
leader,2,leader
parent,2,parent
resourc,2,resourc
librari,2,librari
volunt,2,volunt
addit,2,addit
contact,2,contact
risk,2,risk
materi,2,materi
develop,2,develop
construct,2,construct
hard,2,hard
serv,2,serv
area,2,area
school,2,school
center,2,center
juvenil,2,juvenil
justic,2,justic
new,2,new
goal,2,goal
three,2,three
commit,2,commit
annual,2,annual
$65,2,$65
ceo/presid,2,ceo/presid
operat,2,operat
000,2,000
make,2,make
$2,2,$2
veri,2,veri
central,2,central
about,2,about
1996,2,1996
give,2,give
step,2,step
differ,2,differ
life,2,life
properti,2,properti
equip,2,equip
progress,2,progress
camp,2,camp
first,2,first
woman,2,woman
yield,2,yield
high,2,high
charlott,2,charlott
g,2,g
honorari,2,honorari
chair,2,chair
paul,2,paul
harri,2,harri
store,2,store
